,sel,mig,Fbin,Nbin,freqR,orig,origsd,origmax
328,0.006,0.005,R13,0.0,0.0018,1.002,0.0446766158074,2.0
329,0.006,0.005,R14,0.0,0.0018,1.002,0.0446766158074,2.0
330,0.006,0.005,R15,0.0,0.0018,1.002,0.0446766158074,2.0
331,0.006,0.005,R16,0.0,0.0018,1.002,0.0446766158074,2.0
332,0.006,0.005,R17,0.0,0.0018,1.002,0.0446766158074,2.0
333,0.006,0.005,R18,0.0,0.0018,1.002,0.0446766158074,2.0
334,0.006,0.005,R19,0.0,0.0018,1.002,0.0446766158074,2.0
335,0.006,0.005,R20,0.0,0.0018,1.002,0.0446766158074,2.0
336,0.006,0.006,R0,19968.0,0.0016,1.005,0.0705336798983,2.0
337,0.006,0.006,R1,32.0,0.0016,1.005,0.0705336798983,2.0
338,0.006,0.006,R2,0.0,0.0016,1.005,0.0705336798983,2.0
339,0.006,0.006,R3,0.0,0.0016,1.005,0.0705336798983,2.0
340,0.006,0.006,R4,0.0,0.0016,1.005,0.0705336798983,2.0
341,0.006,0.006,R5,0.0,0.0016,1.005,0.0705336798983,2.0
342,0.006,0.006,R6,0.0,0.0016,1.005,0.0705336798983,2.0
343,0.006,0.006,R7,0.0,0.0016,1.005,0.0705336798983,2.0
344,0.006,0.006,R8,0.0,0.0016,1.005,0.0705336798983,2.0
345,0.006,0.006,R9,0.0,0.0016,1.005,0.0705336798983,2.0
346,0.006,0.006,R10,0.0,0.0016,1.005,0.0705336798983,2.0
347,0.006,0.006,R11,0.0,0.0016,1.005,0.0705336798983,2.0
348,0.006,0.006,R12,0.0,0.0016,1.005,0.0705336798983,2.0
349,0.006,0.006,R13,0.0,0.0016,1.005,0.0705336798983,2.0
350,0.006,0.006,R14,0.0,0.0016,1.005,0.0705336798983,2.0
351,0.006,0.006,R15,0.0,0.0016,1.005,0.0705336798983,2.0
352,0.006,0.006,R16,0.0,0.0016,1.005,0.0705336798983,2.0
353,0.006,0.006,R17,0.0,0.0016,1.005,0.0705336798983,2.0
354,0.006,0.006,R18,0.0,0.0016,1.005,0.0705336798983,2.0
355,0.006,0.006,R19,0.0,0.0016,1.005,0.0705336798983,2.0
356,0.006,0.006,R20,0.0,0.0016,1.005,0.0705336798983,2.0
357,0.006,0.007,R0,19926.0,0.00170340681363,1.001,0.0316069612586,2.0
358,0.006,0.007,R1,29.0,0.00170340681363,1.001,0.0316069612586,2.0
359,0.006,0.007,R2,2.0,0.00170340681363,1.001,0.0316069612586,2.0
360,0.006,0.007,R3,0.0,0.00170340681363,1.001,0.0316069612586,2.0
361,0.006,0.007,R4,0.0,0.00170340681363,1.001,0.0316069612586,2.0
362,0.006,0.007,R5,0.0,0.00170340681363,1.001,0.0316069612586,2.0
363,0.006,0.007,R6,0.0,0.00170340681363,1.001,0.0316069612586,2.0
364,0.006,0.007,R7,0.0,0.00170340681363,1.001,0.0316069612586,2.0
365,0.006,0.007,R8,0.0,0.00170340681363,1.001,0.0316069612586,2.0
366,0.006,0.007,R9,0.0,0.00170340681363,1.001,0.0316069612586,2.0
367,0.006,0.007,R10,0.0,0.00170340681363,1.001,0.0316069612586,2.0
368,0.006,0.007,R11,0.0,0.00170340681363,1.001,0.0316069612586,2.0
369,0.006,0.007,R12,0.0,0.00170340681363,1.001,0.0316069612586,2.0
370,0.006,0.007,R13,0.0,0.00170340681363,1.001,0.0316069612586,2.0
371,0.006,0.007,R14,0.0,0.00170340681363,1.001,0.0316069612586,2.0
372,0.006,0.007,R15,0.0,0.00170340681363,1.001,0.0316069612586,2.0
373,0.006,0.007,R16,0.0,0.00170340681363,1.001,0.0316069612586,2.0
374,0.006,0.007,R17,0.0,0.00170340681363,1.001,0.0316069612586,2.0
375,0.006,0.007,R18,0.0,0.00170340681363,1.001,0.0316069612586,2.0
376,0.006,0.007,R19,0.0,0.00170340681363,1.001,0.0316069612586,2.0
377,0.006,0.007,R20,0.0,0.00170340681363,1.001,0.0316069612586,2.0
378,0.006,0.008,R0,19958.0,0.0021,1.006,0.0772269383052,2.0
379,0.006,0.008,R1,39.0,0.0021,1.006,0.0772269383052,2.0
380,0.006,0.008,R2,1.0,0.0021,1.006,0.0772269383052,2.0
381,0.006,0.008,R3,0.0,0.0021,1.006,0.0772269383052,2.0
382,0.006,0.008,R4,0.0,0.0021,1.006,0.0772269383052,2.0
